Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
124,Massachusetts,Ind,,3,9,-1.34,-11.23,-12.57,37.05,26.66,8.56,7.39,5.32,4.38,6.80,5.75
125,Charlotte,American,,3,9,-9.36,-3.55,-12.91,29.97,15.11,7.11,6.30,4.87,3.65,5.73,4.83
126,Central Michigan,MAC (West),,5,7,-2.53,-10.66,-13.18,35.10,22.30,8.06,7.73,5.22,3.87,6.36,5.72
127,Louisiana-Monroe,Sun Belt (West),,2,10,-8.99,-4.31,-13.30,29.75,20.00,7.24,6.66,5.36,3.04,6.19,4.75
128,Eastern Michigan,MAC (West),,6,7,-9.73,-4.42,-14.16,27.92,18.64,6.31,6.73,4.16,3.97,5.11,5.26
129,Temple,American,,3,9,-7.69,-6.71,-14.40,31.94,22.02,7.69,7.73,4.37,3.64,6.31,5.25
130,Florida International,CUSA,,4,8,-8.30,-7.00,-15.30,29.97,20.92,8.52,6.27,3.31,3.94,5.89,4.97
131,Nevada,MWC,,2,10,-12.84,-2.96,-15.80,26.59,18.58,7.24,7.14,4.04,4.39,5.43,5.57
132,Akron,MAC (East),,2,10,-11.87,-6.77,-18.64,26.33,20.57,6.37,6.18,3.64,3.38,5.14,4.65
133,Kent State,MAC (East),,1,11,-12.45,-9.88,-22.33,27.11,27.03,7.83,7.77,3.78,4.01,5.42,5.61
